D:\BBdata\product_images\httpss7d2scene7comisimageArmstrongFlooringEAS502_3Dwid350hei250fitcropdefaultImageImageNotAvailable.jpg,Hickory Engineered Hardwood - Amber Grain,Armstrong,https://www.armstrongflooring.com/residential/en-us/hardwood-flooring/american-scrape-hardwood/item/EAS502.html,Amber Grain,American Scrape Hardwood,https://s7d2.scene7.com/is/image/ArmstrongFlooring/EAS502_3D?wid=350&hei=250&fit=crop&defaultImage=ImageNotAvailable,Engineered,0.375,Hickory,EAS502,10 - 48,5,Wood,Medium Gloss,,,,,False,False,True,False,False,False,False,False,False,2018-9-20-20-48,Armstrong American Scrape Hardwood Amber Grain Engineered Hickory 5 Medium Gloss,"(None,)",Wood
D:\BBdata\product_images\httpss7d2scene7comisimageArmstrongFlooringHCH411AN_4wid350hei250fitcropdefaultImageImageNotAvailable.jpg,Hickory Engineered Hardwood - Antique Natural,Armstrong,https://www.armstrongflooring.com/residential/en-us/hardwood-flooring/heritage-classics-collection/item/HCH411AN.html,Antique Natural,Heritage Classics Collection,https://s7d2.scene7.com/is/image/ArmstrongFlooring/HCH411AN_4?wid=350&hei=250&fit=crop&defaultImage=ImageNotAvailable,Engineered,0.375,Hickory,HCH411AN,11 - 48,5,Wood,Medium Gloss,,,,,False,False,True,False,False,False,False,False,False,2018-9-20-20-48,Armstrong Heritage Classics Collection Antique Natural Engineered Hickory 5 Medium Gloss,"(None,)",Wood
D:\BBdata\product_images\httpss7d2scene7comisimageArmstrongFlooringEMW6305_2Bwid350hei250fitcropdefaultImageImageNotAvailable.jpg,Hickory Engineered Hardwood - Artesian Brunet,Armstrong,https://www.armstrongflooring.com/residential/en-us/hardwood-flooring/artesian-hand-tooled/item/EMW6305.html,Artesian Brunet,Artesian Hand-Tooled,https://s7d2.scene7.com/is/image/ArmstrongFlooring/EMW6305_2B?wid=350&hei=250&fit=crop&defaultImage=ImageNotAvailable,Engineered,0.5,Hickory,EMW6305,10 - 48,4,Wood,Medium Gloss,,,,,False,False,True,False,False,False,False,False,False,2018-9-20-20-48,Armstrong Artesian Hand-Tooled Artesian Brunet Engineered Hickory 4 Medium Gloss,"(None,)",Wood
D:\BBdata\product_images\httpss7d2scene7comisimageArmstrongFlooringEMW6303_2Bwid350hei250fitcropdefaultImageImageNotAvailable.jpg,Hickory Engineered Hardwood - Artesian Harvest,Armstrong,https://www.armstrongflooring.com/residential/en-us/hardwood-flooring/artesian-hand-tooled/item/EMW6303.html,Artesian Harvest,Artesian Hand-Tooled,https://s7d2.scene7.com/is/image/ArmstrongFlooring/EMW6303_2B?wid=350&hei=250&fit=crop&defaultImage=ImageNotAvailable,Engineered,0.5,Hickory,EMW6303,10 - 48,4,Wood,Medium Gloss,,,,,False,False,True,False,False,False,False,False,False,2018-9-20-20-48,Armstrong Artesian Hand-Tooled Artesian Harvest Engineered Hickory 4 Medium Gloss,"(None,)",Wood
D:\BBdata\product_images\httpss7d2scene7comisimageArmstrongFlooring4510HAAwid350hei250fitcropdefaultImageImageNotAvailable.jpg,Hickory Engineered Hardwood - Autumn Apple,Armstrong,https://www.armstrongflooring.com/residential/en-us/hardwood-flooring/prime-harvest-hickory-engineered/item/4510HAA.html,Autumn Apple,Prime Harvest Hickory Engineered,https://s7d2.scene7.com/is/image/ArmstrongFlooring/4510HAA?wid=350&hei=250&fit=crop&defaultImage=ImageNotAvailable,Engineered,0.5,Hickory,4510HAA,9 - 46 1/2,5,Wood,Medium Gloss,,,,,False,False,True,False,False,False,False,False,False,2018-9-20-20-48,Armstrong Prime Harvest Hickory Engineered Autumn Apple Engineered Hickory 5 Medium Gloss,"(None,)",Wood
D:\BBdata\product_images\httpss7d2scene7comisimageArmstrongFlooringEAS501wid350hei250fitcropdefaultImageImageNotAvailable.jpg,Hickory Engineered Hardwood - Autumn Blaze,Armstrong,https://www.armstrongflooring.com/residential/en-us/hardwood-flooring/american-scrape-hardwood/item/EAS501.html,Autumn Blaze,American Scrape Hardwood,https://s7d2.scene7.com/is/image/ArmstrongFlooring/EAS501?wid=350&hei=250&fit=crop&defaultImage=ImageNotAvailable,Engineered,0.375,Hickory,EAS501,10 - 48,5,Wood,Medium Gloss,,,,,False,False,True,False,False,False,False,False,False,2018-9-20-20-48,Armstrong American Scrape Hardwood Autumn Blaze Engineered Hickory 5 Medium Gloss,"(None,)",Wood
D:\BBdata\product_images\httpss7d2scene7comisimageArmstrongFlooringEMW6302_3Bwid350hei250fitcropdefaultImageImageNotAvailable.jpg,Hickory Engineered Hardwood - Barrel Brown,Armstrong,https://www.armstrongflooring.com/residential/en-us/hardwood-flooring/artesian-hand-tooled/item/EMW6302.html,Barrel Brown,Artesian Hand-Tooled,https://s7d2.scene7.com/is/image/ArmstrongFlooring/EMW6302_3B?wid=350&hei=250&fit=crop&defaultImage=ImageNotAvailable,Engineered,0.5,Hickory,EMW6302,10 - 48,4,Wood,Medium Gloss,,,,,False,False,True,False,False,False,False,False,False,2018-9-20-20-48,Armstrong Artesian Hand-Tooled Barrel Brown Engineered Hickory 4 Medium Gloss,"(None,)",Wood
D:\BBdata\product_images\httpss7d2scene7comisimageArmstrongFlooring4510HBB_2Awid350hei250fitcropdefaultImageImageNotAvailable.jpg,Hickory Engineered Hardwood - Blackened Brown,Armstrong,https://www.armstrongflooring.com/residential/en-us/hardwood-flooring/prime-harvest-hickory-engineered/item/4510HBB.html,Blackened Brown,Prime Harvest Hickory Engineered,https://s7d2.scene7.com/is/image/ArmstrongFlooring/4510HBB_2A?wid=350&hei=250&fit=crop&defaultImage=ImageNotAvailable,Engineered,0.5,Hickory,4510HBB,9 - 46 1/2,5,Wood,Medium Gloss,,,,,False,False,True,False,False,False,False,False,False,2018-9-20-20-48,Armstrong Prime Harvest Hickory Engineered Blackened Brown Engineered Hickory 5 Medium Gloss,"(None,)",Wood
D:\BBdata\product_images\httpss7d2scene7comisimageArmstrongFlooringHCH411BW_3wid350hei250fitcropdefaultImageImageNotAvailable.jpg,Hickory Engineered Hardwood - Brandywine,Armstrong,https://www.armstrongflooring.com/residential/en-us/hardwood-flooring/heritage-classics-collection/item/HCH411BW.html,Brandywine,Heritage Classics Collection,https://s7d2.scene7.com/is/image/ArmstrongFlooring/HCH411BW_3?wid=350&hei=250&fit=crop&defaultImage=ImageNotAvailable,Engineered,0.375,Hickory,HCH411BW,11 - 48,5,Wood,Medium Gloss,,,,,False,False,True,False,False,False,False,False,False,2018-9-20-20-48,Armstrong Heritage Classics Collection Brandywine Engineered Hickory 5 Medium Gloss,"(None,)",Wood
D:\BBdata\product_images\httpss7d2scene7comisimageArmstrongFlooringESP5230_3Awid350hei250fitcropdefaultImageImageNotAvailable.jpg,Hickory Engineered Hardwood - Butternut,Armstrong,https://www.armstrongflooring.com/residential/en-us/hardwood-flooring/performance-plus/item/ESP5230.html,Butternut,Performance Plus,https://s7d2.scene7.com/is/image/ArmstrongFlooring/ESP5230_3A?wid=350&hei=250&fit=crop&defaultImage=ImageNotAvailable,Engineered,0.375,Hickory,ESP5230,10 - 48,5,Wood,High Gloss,,,,,False,False,True,False,False,False,False,False,False,2018-9-20-20-48,Armstrong Performance Plus Butternut Engineered Hickory 5 High Gloss,"(None,)",Wood
