filename, language, Python, YAML, Django txt, Django HTML, CSV, JSON, comment, blank, total
ProductFilter\migrations\0003_auto_20190509_1712.py, Python, 29, 0, 0, 0, 0, 0, 1, 6, 36
ProductFilter\migrations\0004_auto_20190509_1714.py, Python, 12, 0, 0, 0, 0, 0, 1, 6, 19
ProductFilter\migrations\0005_auto_20190510_0038.py, Python, 12, 0, 0, 0, 0, 0, 1, 6, 19
ProductFilter\migrations\0006_auto_20190510_0041.py, Python, 12, 0, 0, 0, 0, 0, 1, 6, 19
ProductFilter\migrations\0007_auto_20190510_0046.py, Python, 12, 0, 0, 0, 0, 0, 1, 6, 19
ProductFilter\migrations\0008_auto_20190510_0214.py, Python, 18, 0, 0, 0, 0, 0, 1, 6, 25
ProductFilter\migrations\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
ProductFilter\models.py, Python, 370, 0, 0, 0, 0, 0, 11, 50, 431
ProductFilter\tests.py, Python, 1, 0, 0, 0, 0, 0, 1, 2, 4
ProductFilter\views.py, Python, 1, 0, 0, 0, 0, 0, 1, 2, 4
Products\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
Products\admin.py, Python, 4, 0, 0, 0, 0, 0, 7, 3, 14
Products\apps.py, Python, 3, 0, 0, 0, 0, 0, 0, 3, 6
Products\lists.py, Python, 197, 0, 0, 0, 0, 0, 1, 8, 206
Products\migrations\0001_initial.py, Python, 44, 0, 0, 0, 0, 0, 1, 7, 52
Products\migrations\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
Products\models.py, Python, 112, 0, 0, 0, 0, 0, 16, 40, 168
Products\serializers.py, Python, 62, 0, 0, 0, 0, 0, 49, 49, 160
Products\sorter.py, Python, 0, 0, 0, 0, 0, 0, 407, 41, 448
Products\tests.py, Python, 15, 0, 0, 0, 0, 0, 1, 7, 23
Products\urls.py, Python, 6, 0, 0, 0, 0, 0, 0, 2, 8
Products\views.py, Python, 13, 0, 0, 0, 0, 0, 8, 8, 29
Profiles\__init__.py, Python, 1, 0, 0, 0, 0, 0, 0, 1, 2
Profiles\admin.py, Python, 11, 0, 0, 0, 0, 0, 1, 4, 16
Profiles\apps.py, Python, 5, 0, 0, 0, 0, 0, 0, 4, 9
Profiles\migrations\0001_initial.py, Python, 82, 0, 0, 0, 0, 0, 1, 7, 90
Profiles\migrations\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
Profiles\models.py, Python, 221, 0, 0, 0, 0, 0, 7, 49, 277
Profiles\serializers.py, Python, 277, 0, 0, 0, 0, 0, 2, 40, 319
Profiles\signals.py, Python, 6, 0, 0, 0, 0, 0, 0, 3, 9
Profiles\tests.py, Python, 1, 0, 0, 0, 0, 0, 1, 2, 4
Profiles\urls.py, Python, 18, 0, 0, 0, 0, 0, 0, 2, 20
Profiles\views.py, Python, 287, 0, 0, 0, 0, 0, 12, 49, 348
